[2026-04-10 09:37:21] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:15] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:27] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:28] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:10:28] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:10:29] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:10:43] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:45] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:46] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:10:47] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:05] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:06] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:06] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:06] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:06] REJECTED | Missing required standalone line: uint64_t crc64_context = 0xFFFFFFFFFFFFFFFFUL;
[2026-04-17 08:11:06] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:07] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:07] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:07] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:07] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:07] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:13] REJECTED | Bug -O1 Runtime Fail/UB
[2026-04-17 08:11:13] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:13] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:13] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:13] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:14] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:15] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:17] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:23] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:25] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:25] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:27] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:27] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:27] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:11:29] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:30] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:32] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:33] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:34] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:35] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:38] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:39] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:40] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:41] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:44] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:44] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:46] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:46] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:49] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:51] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:52] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:11:52] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:54] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:55] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:56] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:56] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:58] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:58] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:11:59] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:00] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:00] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:01] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:02] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:04] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:07] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:08] REJECTED | MSAN Runtime Fail/UB
[2026-04-17 08:12:17] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:17] REJECTED | Missing required standalone line: uint64_t crc64_context = 0xFFFFFFFFFFFFFFFFUL;
[2026-04-17 08:12:17] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:17] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:17] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:17] REJECTED | Missing required standalone line: uint64_t crc64_context = 0xFFFFFFFFFFFFFFFFUL;
[2026-04-17 08:12:21] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:21] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:27] INTERESTING | Clean Mismatch Found!
